global_rank,region_rank,region,ticker,company,country,exchange,theme,latent_ai_asset,market_cap_bucket,ai_visibility,alpha_score,latent_fit,discovery_gap,valuation_gap,catalyst_density,execution_quality,hype_penalty,conviction,thesis,catalysts,risks,source_keys,latest_price,latest_currency,latest_market_cap_usd,latest_market_cap_usd_b,latest_ytd_return_pct,market_data_as_of,market_data_source,base_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
11,7,US,MRCY,Mercury Systems,United States,NASDAQ,Defense/Space/Edge,"Rugged edge processing, RF and mission-compute modules",Small-Mid,Latent,85.4,22,17,16,14,8,2,Speculative,Defense AI needs deployable compute and sensor processing; prior execution issues keep the crowd skeptical despite strategic relevance.,Defense electronics recovery; edge AI modules; operating turnaround.,Program delays; margin execution; balance-sheet and customer concentration.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,108.82,USD,6491000000.0,6.491,43.13,2026-06-09,https://finance.yahoo.com/quote/MRCY/,75.6,0.0,75.6,9.8,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +9.8 after cap/YTD discipline."
12,5,Non-US,HPS.A.TO,Hammond Power Solutions,Canada,TSX,Power & Grid,Dry-type transformers and custom power-distribution equipment,Small-Mid,Emerging,84.9,23,17,16,18,12,2,High,"Small enough to remain underfollowed, but directly exposed to transformer shortages, electrification and data-centre expansion.",Transformer backlog; U.S. data-centre/custom-engineered demand; capacity expansion.,Transformer-cycle normalization; Canadian liquidity; input costs.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;HAMMOND_IR,299.88,CAD,2763595200.0,2.764,84.54,2026-06-09,https://finance.yahoo.com/quote/HPS-A.TO/,84.0,0.6,83.4,1.5,power_grid,AI 2027/current overlay: power_grid; bonus +1.5 after cap/YTD discipline.
13,6,Non-US,DSCV.L,discoverIE Group,United Kingdom,LSE,Power & Components,Customised industrial electronics and sensors,Small-Mid,Latent,84.5,20,18,15,14,11,0,High,A custom electronics compounder with industrial sensing and power niches; it can quietly supply edge-AI and electrification applications without AI branding.,Order recovery; operating margin target upgrade; acquisitions.,UK small-cap discount; industrial cycle; M&A execution.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;DISCOVERIE_IR,695.0,GBp,925976232.8,0.926,17.6,2026-06-09,https://finance.yahoo.com/quote/DSCV.L/,78.0,0.0,78.0,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
14,7,Non-US,OXIG.L,Oxford Instruments,United Kingdom,LSE,Semi/Advanced Materials,"Semiconductor, imaging, cryogenics and scientific tools",Small-Mid,Emerging,84.1,22,15,12,16,10,3,Medium,"Semiconductor, quantum and imaging tools give Oxford latent leverage to AI hardware R&D and advanced metrology without being a mainstream AI stock.",Semiconductor growth; cryogenic/quantum demand; imaging division recovery.,Research capex; China exposure; premium valuation.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;OXFORD_IR,2798.0,GBp,2375714149.05,2.376,36.16,2026-06-09,https://finance.yahoo.com/quote/OXIG.L/,74.1,0.0,74.1,10.0,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
15,8,US,ESE,ESCO Technologies,United States,NYSE,Sensors & Measurement,"RF shielding, filtration, test and utility solutions",Mid,Latent,83.8,20,17,15,15,11,2,Medium,"A niche measurement and shielding portfolio sits near electrification, defense electronics and test environments needed around higher-density compute.",Utility spending; aerospace/defense electronics; acquisition integration.,Niche end-market cyclicality; small-cap liquidity; multiple already quality-premium.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,304.52,USD,7767000000.0,7.767,54.09,2026-06-09,https://finance.yahoo.com/quote/ESE/,75.3,0.0,75.3,8.5,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +8.5 after cap/YTD discipline."
16,8,Non-US,TTG.L,TT Electronics,United Kingdom,LSE,Power & Components,"Sensors, power conversion and electronics manufacturing",Small,Latent,82.8,20,18,16,13,8,0,Speculative,"A small UK electronics supplier that senses, powers and connects regulated-market devices; it is a hidden edge-AI component candidate.",Aerospace/defense power; medical electronics; automation/electrification wins.,Small scale; margins; UK liquidity.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;TT_IR,117.4,GBp,277662494.18,0.278,-0.51,2026-06-09,https://finance.yahoo.com/quote/TTG.L/,75.0,0.0,75.0,7.8,power_grid,AI 2027/current overlay: power_grid; bonus +7.8 after cap/YTD discipline.
17,9,Non-US,RSW.L,Renishaw,United Kingdom,LSE,Sensors & Measurement,"Precision metrology, encoders and additive manufacturing",Mid-Large,Latent,82.7,21,15,12,15,12,3,Medium,AI-enabled manufacturing and robotics require precision measurement; Renishaw is strategic but often screened as a slow industrial metrology name.,Metrology recovery; robotics/automation design wins; additive manufacturing.,Industrial cycle; ownership structure; valuation.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;RENISHAW_IR,4972.0,GBp,5086748759.55,5.087,40.06,2026-06-09,https://finance.yahoo.com/quote/RSW.L/,72.7,0.0,72.7,10.0,"packaging_memory_test,physical_ai,power_grid","AI 2027/current overlay: packaging_memory_test,physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
18,9,US,WTS,Watts Water Technologies,United States,NYSE,Thermal & Water,"Valves, sensors and water/thermal controls",Mid,Latent,82.3,20,16,13,15,11,2,Medium,AI data centers need water stewardship and thermal control; Watts is a quiet water/flow control compounder.,Data-center water constraints; smart valve/sensor adoption; building efficiency regulation.,Residential/non-residential cycle; premium valuation; raw-material costs.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,319.83,USD,9857000000.0,9.857,14.81,2026-06-09,https://finance.yahoo.com/quote/WTS/,72.3,0.0,72.3,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
19,10,Non-US,AALB.AS,Aalberts,Netherlands,Euronext Amsterdam,Thermal & Water,"Hydronic flow control, precision components and surface technologies",Mid,Latent,82.3,21,16,15,15,12,2,Medium,Hydronic flow and thermal control are needed for efficient cooling; Aalberts offers niche industrial/building technologies at a non-AI multiple.,Hydronic HVAC/data-centre demand; portfolio focus; European recovery.,European building cycle; conglomerate discount; indirect AI exposure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,38.3,EUR,4709032801.53,4.709,34.29,2026-06-09,https://finance.yahoo.com/quote/AALB.AS/,76.3,0.0,76.3,6.0,power_grid,AI 2027/current overlay: power_grid; bonus +6.0 after cap/YTD discipline.
20,11,Non-US,ATS.TO,ATS Corporation,Canada,TSX/NYSE,Industrial Automation & Robotics,Custom automation systems for advanced manufacturing,Mid,Latent,82.0,21,15,13,15,10,2,Medium,"Custom automation is the physical implementation layer for AI-enhanced factories, life sciences and energy manufacturing.",Order recovery; EV/battery and life-science projects; margin improvement.,Large project timing; leverage; industrial capex softness.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;ATS_IR,38.23,CAD,2607883181.3,2.608,-0.21,2026-06-09,https://finance.yahoo.com/quote/ATS.TO/,72.0,0.0,72.0,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
21,10,US,ATKR,Atkore,United States,NYSE,Power & Grid,"Electrical conduit, cable management and infrastructure products",Mid,Emerging,81.7,21,15,15,14,9,3,Medium,Conduit and cable management are banal but necessary in data centers and electrification builds; multiple compressed after normalization.,Electrical infrastructure projects; data-center/solar demand; portfolio simplification.,Pricing normalization; construction slowdown; commodity exposure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;ATKORE_IR,80.78,USD,2867853901.0,2.868,25.38,2026-06-09,https://finance.yahoo.com/quote/ATKR/,71.7,0.0,71.7,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
22,12,Non-US,MGAM.L,Morgan Advanced Materials,United Kingdom,LSE,Semi/Advanced Materials,"Thermal ceramics, carbon and technical ceramic materials",Small-Mid,Special Situation,81.3,21,18,16,13,8,2,Speculative,"Thermal ceramics and semiconductor materials are relevant to power/heat constraints, but the market is focused on weak semicap/European industrial demand.",Semiconductor stabilization; margin simplification; thermal products recovery.,Weak semicap demand; European industrial slowdown; restructuring risk.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;MORGAN_IR,221.0,GBp,833497292.71,0.833,-0.45,2026-06-09,https://finance.yahoo.com/quote/MGAM.L/,74.0,0.0,74.0,7.3,power_grid,AI 2027/current overlay: power_grid; bonus +7.3 after cap/YTD discipline.
23,11,US,APG,APi Group,United States,NYSE,Data Center Services,Fire/life safety and specialty services for critical facilities,Mid-Large,Emerging,81.3,18,15,13,15,11,2,Medium,"Safety, suppression and inspection services are mandatory in high-density data centers but usually ignored in AI supply-chain screens.",Data-center service contracts; inspection/monitoring digitization; margin expansion.,Labor costs; acquisition integration; commercial construction cycle.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,43.68,USD,18737000000.0,18.737,12.09,2026-06-09,https://finance.yahoo.com/quote/APG/,71.3,0.0,71.3,10.0,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
24,12,US,AZZ,AZZ Inc.,United States,NYSE,Power & Grid,Metal coatings and precoat metals for infrastructure,Mid,Latent,81.3,19,17,15,13,10,2,Medium,"AI data centers, substations and transmission all need protected metal infrastructure; AZZ is a second-derivative electrification pick.",Grid/industrial construction; galvanizing capacity; infrastructure spending.,Steel cycle; construction delays; less direct AI revenue linkage.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;AZZ_IR,144.17,USD,4327000000.0,4.327,31.37,2026-06-09,https://finance.yahoo.com/quote/AZZ/,71.3,0.0,71.3,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
25,13,Non-US,XPP.L,XP Power,Singapore,LSE,Power & Components,"Power converters for semiconductor, healthcare and industrial equipment",Small,Latent,81.2,21,19,17,15,9,0,High,A turnaround power-converter specialist; AI semicap and industrial electrification can pull demand before the market fully trusts the recovery.,Semiconductor equipment recovery; debt reduction; margin rebuild after factory actions.,Balance-sheet sensitivity; cyclical orders; prior execution issues.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;XPPOWER_IR,1718.0,GBp,668725770.35,0.669,92.17,2026-06-09,https://finance.yahoo.com/quote/XPP.L/,80.3,1.1,79.2,2.0,power_grid,AI 2027/current overlay: power_grid; bonus +2.0 after cap/YTD discipline.
26,13,US,TRMB,Trimble,United States,NASDAQ,Sensors & Measurement,"Geospatial, positioning and construction data systems",Large,Latent,80.6,20,15,13,14,10,2,Medium,"AI models for construction, logistics and autonomy need precise geospatial data; Trimble has data and workflow positions but is not an AI narrative stock.",Construction automation; transportation optimization; subscription mix.,End-market cyclicality; portfolio complexity; software transition execution.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,52.95,USD,12630000000.0,12.63,-32.4,2026-06-09,https://finance.yahoo.com/quote/TRMB/,70.6,0.0,70.6,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
27,14,US,CCC,CCC Intelligent Solutions,United States,NASDAQ,Distribution/Services,"Decades of proprietary collision-claims, repair-cost and parts data plus the network rails connecting 300+ insurers, ~30k repair shops, OEMs and parts suppliers - the only training corpus and distribution channel of its kind for P&C claims AI (photo estimating, casualty/bodily-injury AI, subrogation).",Mid,Emerging,80.3,22,21,16,14,12,1,High,"A 40-year proprietary auto-claims data monopoly with deployed, paid AI at scale - and the stock has been cut in half during an AI bull tape. Q1 2026 revenue grew 12% to $281M with 43% adjusted EBITDA margins, and roughly $100M (10% of revenue) now comes from AI-based solutions adopted by 125+ insurers and 15,000+ repair facilities. The market is pricing the AI attach optionality at zero while paying ~7-8x EV/EBITDA for sticky 10-12% growth vertical software.",Quarterly AI-revenue disclosures (AI drove ~1/3 of growth); casualty platform wins ramping; FY26 guide $1.155-1.163B reiterated; Advent/Dragoneer PE share overhang clearing; potential buyback against depressed price; large-insurer AI estimating conversions moving from low single-digit to double-digit claim share.,ADAS-driven decline in accident frequency shrinks claim volumes; persistent PE-holder selling and high stock comp; GAAP P/E optically high (84x); Mitchell/Solera competition; insurer concentration.,AGENT_20260609_CCC,4.75,USD,2928833274.0,2.929,-39.64,2026-06-09,https://finance.yahoo.com/quote/CCC/,73.4,0.0,73.4,6.9,packaging_memory_test,AI 2027/current overlay: packaging_memory_test; bonus +6.9 after cap/YTD discipline.
28,14,Non-US,AMS.SW,ams-OSRAM,Austria,SIX,Sensors & Photonics,"Optical emitters, sensors and illumination components",Mid,Special Situation,80.3,22,18,17,14,7,2,Speculative,"Optical sensing/emitters can feed edge AI, robotics and datacom, while balance-sheet and consumer-cycle scars keep expectations low.",Portfolio deleveraging; optical sensing recovery; automotive/industrial design wins.,Debt; smartphone/auto cycles; execution and dilution risk.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,17.47,CHF,2146750072.36,2.147,102.79,2026-06-09,https://finance.yahoo.com/quote/AMS.SW/,75.4,1.9,73.5,6.8,"packaging_memory_test,physical_ai,power_grid","AI 2027/current overlay: packaging_memory_test,physical_ai,power_grid; bonus +6.8 after cap/YTD discipline."
29,15,Non-US,MTRS.ST,Munters Group,Sweden,Nasdaq Stockholm,Thermal & Water,Air and liquid cooling for data centers and industrial climate control,Mid,Discovered,80.2,24,8,10,19,12,4,Medium,"Munters has direct cooling exposure, but the data-center angle is now visible; upside depends on liquid-cooling scale and valuation discipline.",Liquid cooling; energy-efficient data-center orders; capacity expansion.,Crowd discovery; customer concentration; cooling-technology shifts.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;MUNTERS_DC,200.0,SEK,3974788744.4,3.975,3.47,2026-06-09,https://finance.yahoo.com/quote/MTRS.ST/,70.2,0.0,70.2,10.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +10.0 after cap/YTD discipline."
30,16,Non-US,KARN.SW,Kardex,Switzerland,SIX,Industrial Automation & Robotics,"Warehouse automation, shuttle systems and light-goods robotics",Mid,Latent,80.0,20,15,12,16,11,1,Medium,"Warehouse automation becomes more AI-levered as orchestration software improves; Kardex is a focused automation asset, not an AI platform name.",Bookings momentum; lightgoods portfolio expansion; logistics automation cycle.,Capex pauses; premium quality valuation; customer project timing.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;KARDEX_IR,227.5,CHF,2534745822.42,2.535,-19.33,2026-06-09,https://finance.yahoo.com/quote/KARN.SW/,70.0,0.0,70.0,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
31,17,Non-US,VCM.TO,Vecima Networks,Canada,TSX,Connectivity & Photonics,Cable/fiber access and cloud-native broadband platforms,Small,Latent,80.0,20,18,15,12,7,2,Speculative,"Distributed AI and edge compute need upgraded broadband/fiber access; Vecima is small, technical and underfollowed.",DOCSIS 4.0 rollouts; vCMTS adoption; customer transition from qualification to deployment.,Customer concentration; cable capex cycles; small-cap liquidity.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;VECIMA_IR,12.87,CAD,238739891.85,0.239,23.75,2026-06-09,https://finance.yahoo.com/quote/VCM.TO/,70.0,0.0,70.0,10.0,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
32,15,US,WLY,John Wiley & Sons,United States,NYSE,Distribution/Services,"200+ years of scientific publishing IP: ~1,600 journals, hundreds of thousands of book titles, and the peer-review pipeline producing fresh, rights-cleared training and grounding data that LLM labs cannot scrape legally.",Mid,Emerging,80.0,23,19,15,14,11,2,High,"One of only three scale owners of rights-cleared, peer-reviewed scientific corpus on earth (Elsevier and Springer being the others, one giant and one private), trading at ~15x earnings and ~11x free cash flow as a 'dying publisher' while its AI licensing line inflects: $29M in Q1 FY26 alone versus $40M for all of FY24, over $100M lifetime, and a strategic partnership with Anthropic to pipe institutional library subscriptions into AI tools. As frontier labs pivot to AI-for-science, vetted scientific content becomes a recurring toll, not a one-off.",Recurring multi-lab AI licensing deals (now including syndicating other publishers' content); Anthropic institutional partnership rollout; quarterly AI-revenue disclosure cadence; FY26 guide of $3.90-4.35 adjusted EPS and ~$200M FCF on a $2.3B market cap; copyright case law hardening the value of licensed corpora.,Licensing deals are lumpy and could plateau; an adverse fair-use ruling would weaken pricing power; core publishing revenue slightly negative (-1.7% in Q2); long-term risk that AI agents disintermediate journal consumption.,AGENT_20260609_WLY,43.96,USD,2269095438.0,2.269,49.02,2026-06-09,https://finance.yahoo.com/quote/WLY/,73.5,0.0,73.5,6.5,power_grid,AI 2027/current overlay: power_grid; bonus +6.5 after cap/YTD discipline.
33,16,US,VIAV,VIAVI Solutions,United States,NASDAQ,Connectivity & Photonics,"Optical test, assurance and timing for networks/data centers",Small-Mid,Emerging,79.9,23,17,15,15,10,1,High,Every AI cluster and interconnect needs verification; VIAVI is a tollbooth on optical/network testing rather than a chip hype name.,800G/1.6T testing; telecom recovery; data-center ecosystem assurance.,Carrier capex weakness; acquisition integration; pricing pressure.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC;VIAVI_IR,46.43,USD,11454000000.0,11.454,155.81,2026-06-09,https://finance.yahoo.com/quote/VIAV/,80.2,5.3,74.9,5.0,"compute_factory,packaging_memory_test,power_grid,security_sovereign","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid,security_sovereign; bonus +5.0 after cap/YTD discipline."
34,18,Non-US,INRN.SW,Interroll,Switzerland,SIX,Industrial Automation & Robotics,"Conveyor, sorter and material-flow systems",Mid,Latent,78.6,19,15,12,14,11,3,Medium,AI warehouse orchestration needs reliable physical flow; Interroll is a pick-and-shovel for logistics automation.,Warehouse automation recovery; sorter projects; robotics integration.,Cyclical capex; premium quality multiple; slow European demand.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,1472.0,CHF,1701060300.0,1.701,-34.72,2026-06-09,https://finance.yahoo.com/quote/INRN.SW/,68.6,0.0,68.6,10.0,"physical_ai,power_grid","AI 2027/current overlay: physical_ai,power_grid; bonus +10.0 after cap/YTD discipline."
35,17,US,SMTC,Semtech,United States,NASDAQ,Connectivity & Components,"LoRa, signal integrity and IoT connectivity chips/modules",Small-Mid,Emerging,78.1,21,15,14,14,8,2,Speculative,Edge AI needs low-power connectivity and telemetry; Semtech offers IoT and high-speed signal chain optionality after a difficult acquisition cycle.,LoRa ecosystem; data-center signal products; balance-sheet improvement.,Debt/integration; telecom/IoT cyclicality; execution risk.,M_IEA_POWER;M_MS_POWER;M_CBRE_DC;M_SP_GLOBAL_DC,157.52,USD,14673000000.0,14.673,109.3,2026-06-09,https://finance.yahoo.com/quote/SMTC/,70.6,2.3,68.3,9.8,"compute_factory,packaging_memory_test,physical_ai,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,physical_ai,power_grid; bonus +9.8 after cap/YTD discipline."
